ID,x1,x2
0,8,8
1,8.23,8.5
2,7.88,9
3,9,9
4,7,9
5,7.5,8.25
6,10,7.5
7,9.78,5.9
8,6.5,6.5
9,6.9,10
10,11,5.5
11,-6,-8
13,-6.23,-8.5
14,-5.88,-9
15,-7,-9
16,-5,-9
17,-5.5,-8.25
18,-8,-7.5
19,-7.78,-5.9
20,-4.5,-6.5
21,-4.9,-10
22,-9,-5.5
23,-6,8
24,-6.23,8.5
25,-5.88,9
26,-7,9
27,-5,9
28,-5.5,8.25
29,-8,7.5
30,-7.78,5.9
31,-4.5,6.5
32,-4.9,10
33,-9,5.5
34,4.5,-11.5
35,4.73,-12
36,4.38,-12.5
37,5.5,-12.5
38,3.5,-12.5
39,4,-11.75
40,6.5,-11
41,6.28,-9.4
42,3,-10
43,3.4,-13.5
44,7.5,-9
45,-5,0
46,-4,-2.21
47,-2.5,-0.99
48,5,0
49,4,3.9
50,3.5,2.35
51,7,3
52,5,10.12
